station_id,station_number,station_display_name,timestamp,latitude,longitude,available_bikes,station_capacity,available_racks,is_stockout,hour,day_of_week,is_weekend,air_quality_pm10,air_quality_pm25,air_quality_o3,air_quality_no2,air_quality_co,air_quality_so2,air_quality_data_time,air_source,temperature,humidity,precipitation,wind_speed,is_raining,weather_severity,weather_timestamp,weather_source
ST-1266,3517,용마사거리,2025-11-25 15:19:27.953038,37.5625267,127.08227539,14,10,-4,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1263,3518,군자역 7번출구뒤,2025-11-25 15:19:27.953038,37.55686188,127.07913971,14,8,-6,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1379,3521,현대홈타운 뒷길,2025-11-25 15:19:27.953038,37.54342651,127.09661865,0,10,10,1,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1429,3523,건국대학교 과학관(이과대) 앞,2025-11-25 15:19:27.953038,37.54171753,127.08016968,18,10,-8,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1602,3528,광진정보도서관,2025-11-25 15:19:27.953038,37.55059814,127.11051178,24,8,-16,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1603,3529,어린이대공원정문,2025-11-25 15:19:27.953038,37.54978943,127.07592773,1,15,14,1,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1660,3533,건대입구역 사거리(롯데백화점),2025-11-25 15:19:27.953038,37.5392952,127.07078552,11,10,-1,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1661,3534,건대입구역 5번출구 뒤,2025-11-25 15:19:27.953038,37.54008102,127.06956482,5,10,5,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1663,3536,중앙농협(자양동),2025-11-25 15:19:27.953038,37.53181076,127.08074188,9,10,1,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1664,3537,아차산 휴먼시아 아파트 옆,2025-11-25 15:19:27.953038,37.54848862,127.09375763,19,15,-4,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1722,3542,래미안 구의파크 스위트,2025-11-25 15:19:27.953038,37.54498672,127.0898056,18,15,-3,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1760,3543,세종대학교(학술정보원),2025-11-25 15:19:27.953038,37.55137253,127.07444,22,15,-7,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2302,3563,구의7단지현대아파트,2025-11-25 15:19:27.953038,37.53680038,127.09083557,6,5,-1,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2305,3566,우성4차아파트,2025-11-25 15:19:27.953038,37.53507233,127.07611084,7,10,3,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2308,3569,건대병원후문,2025-11-25 15:19:27.953038,37.53956604,127.0724411,5,12,7,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2309,3570,구의역 리버비스타 오피스텔,2025-11-25 15:19:27.953038,37.53780746,127.08976746,7,15,8,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2310,3571,화양 APT(횡단보도 옆),2025-11-25 15:19:27.953038,37.54434967,127.0654068,9,15,6,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2312,3573,광나루안전체험관,2025-11-25 15:19:27.953038,37.5513382,127.07671356,3,15,12,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2314,3575,자양사거리(서원빌딩),2025-11-25 15:19:27.953038,37.53657532,127.08258057,4,6,2,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2318,3579,광진 캠퍼스시티,2025-11-25 15:19:27.953038,37.54788971,127.06745148,28,20,-8,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2320,3581,광진광장,2025-11-25 15:19:27.953038,37.54747009,127.07396698,14,15,1,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2321,3582,화양동 우체국,2025-11-25 15:19:27.953038,37.54798889,127.06950378,26,14,-12,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2325,3586,군자역 비채온 오피스텔,2025-11-25 15:19:27.953038,37.55771255,127.07727051,26,8,-18,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2407,3587,우성식품 앞,2025-11-25 15:19:27.953038,37.54246521,127.09423065,4,15,11,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-2408,3588,세종대학교(영실관),2025-11-25 15:19:27.953038,37.55237198,127.07353973,5,10,5,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-386,575,대원중고교 입구(대하빌딩),2025-11-26 11:09:26.194176,37.56429291,127.08693695,11,10,-1,0,11,2,0,,,,,,,,,8.5,52.0,0.0,1.0,0,0,,KMA_UltraSrtNcst
ST-387,576,광나루역 3번 출구,2025-11-26 11:09:26.194176,37.54483032,127.10426331,14,10,-4,0,11,2,0,,,,,,,,,8.5,52.0,0.0,1.0,0,0,,KMA_UltraSrtNcst
ST-2541,3853,어린이대공원역 2번출구,2025-11-25 15:19:27.953038,37.54764938,127.07470703,14,18,4,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
